"","N","N animal spp.","N plant spp.","Metric","BRT value","BRT cv","Size matching GLM value"
"1","73105","6848","0","AUC",0.986,0.961,0.536
"2","","","","Accuracy",0.981,0.971,0.928
"3","","","","Kappa",0.843,0.753,0
"4","","","","TSS",0.77,0.666,0
"5","5259","1521","0","R2",0.464,0.296,0.006
"6","","","","NRMSE",73.8,84,99.7
"7","3215","1038","0","R2",0.394,0.189,0.004
"8","","","","NRMSE",79.7,90.1,99.8
